t,r,y,u
1.50000000,360.00000000,353.57144165,0.64429510
1.52000000,360.00000000,360.00003052,0.72319007
1.54000000,360.00000000,360.00003052,0.66578436
1.56000000,360.00000000,360.00003052,0.66578424
1.58000000,360.00000000,366.42858887,0.66578412
1.60000000,360.00000000,360.00003052,0.58688927
1.62000000,360.00000000,360.00003052,0.64429456
1.64000000,360.00000000,353.57144165,0.64429444
1.66000000,360.00000000,360.00003052,0.72318941
1.68000000,360.00000000,360.00003052,0.66578370
1.70000000,360.00000000,366.42858887,0.66578358
1.72000000,360.00000000,360.00003052,0.58688873
1.74000000,360.00000000,360.00003052,0.64429402
1.76000000,360.00000000,353.57144165,0.64429390
1.78000000,360.00000000,360.00003052,0.72318888
1.80000000,360.00000000,360.00003052,0.66578317
1.82000000,360.00000000,360.00003052,0.66578305
1.84000000,360.00000000,360.00003052,0.66578293
1.86000000,360.00000000,360.00003052,0.66578281
1.88000000,360.00000000,360.00003052,0.66578269
1.90000000,360.00000000,366.42858887,0.66578257
1.92000000,360.00000000,366.42858887,0.58688772
1.94000000,360.00000000,360.00003052,0.56539828
1.96000000,360.00000000,353.57144165,0.62280357
1.98000000,360.00000000,360.00003052,0.70169854
2.00000000,360.00000000,360.00003052,0.64429283
2.02000000,360.00000000,360.00003052,0.64429271
2.04000000,360.00000000,360.00003052,0.64429259
2.06000000,360.00000000,360.00003052,0.64429247
2.08000000,360.00000000,360.00003052,0.64429235
2.10000000,360.00000000,360.00003052,0.64429224
2.12000000,360.00000000,360.00003052,0.64429212
2.14000000,360.00000000,360.00003052,0.64429200
2.16000000,360.00000000,360.00003052,0.64429188
2.18000000,360.00000000,360.00003052,0.64429176
2.20000000,360.00000000,360.00003052,0.64429164
2.22000000,360.00000000,360.00003052,0.64429152
2.24000000,360.00000000,360.00003052,0.64429140
2.26000000,360.00000000,360.00003052,0.64429128
2.28000000,360.00000000,360.00003052,0.64429116
2.30000000,360.00000000,360.00003052,0.64429104
2.32000000,360.00000000,353.57144165,0.64429092
2.34000000,360.00000000,360.00003052,0.72318590
2.36000000,360.00000000,360.00003052,0.66578019
2.38000000,360.00000000,366.42858887,0.66578007
2.40000000,360.00000000,366.42858887,0.58688521
2.42000000,360.00000000,360.00003052,0.56539577
2.44000000,360.00000000,360.00003052,0.62280107
2.46000000,360.00000000,360.00003052,0.62280095
2.48000000,360.00000000,360.00003052,0.62280083
