t,u,y
1.78000000,1.59681749,546.42858887
1.80000000,1.59681749,552.85717773
1.82000000,1.59681749,552.85717773
1.84000000,1.59681749,546.42858887
1.86000000,1.59681749,546.42858887
1.88000000,1.59681749,552.85717773
1.90000000,1.59681749,546.42858887
1.92000000,1.59681749,552.85717773
1.94000000,1.59681749,552.85717773
1.96000000,1.59681749,552.85717773
1.98000000,1.59681749,546.42858887
2.00000000,1.59681749,552.85717773
2.02000000,1.59681749,546.42858887
2.04000000,1.59681749,552.85717773
2.06000000,1.59681749,552.85717773
2.08000000,1.59681749,552.85717773
2.10000000,1.59681749,546.42858887
2.12000000,1.59681749,552.85717773
2.14000000,1.59681749,546.42858887
2.16000000,1.59681749,552.85717773
2.18000000,1.59681749,552.85717773
2.20000000,1.59681749,546.42858887
2.22000000,1.59681749,552.85717773
2.24000000,1.59681749,546.42858887
2.26000000,1.59681749,552.85717773
2.28000000,1.59681749,552.85717773
2.30000000,1.59681749,552.85717773
2.32000000,1.59681749,546.42858887
2.34000000,1.59681749,552.85717773
2.36000000,1.59681749,546.42858887
2.38000000,1.59681749,552.85717773
2.40000000,1.59681749,552.85717773
2.42000000,1.59681749,552.85717773
2.44000000,1.59681749,546.42858887
2.46000000,1.59681749,552.85717773
2.48000000,1.59681749,546.42858887
2.50000000,1.59681749,552.85717773
2.52000000,1.59681749,546.42858887
2.54000000,1.59681749,552.85717773
2.56000000,1.59681749,546.42858887
2.58000000,1.59681749,552.85717773
2.60000000,1.59681749,552.85717773
2.62000000,1.59681749,546.42858887
2.64000000,1.59681749,546.42858887
2.66000000,1.59681749,552.85717773
2.68000000,1.59681749,552.85717773
2.70000000,1.59681749,546.42858887
2.72000000,1.59681749,552.85717773
2.74000000,1.59681749,546.42858887
2.76000000,1.59681749,552.85717773
2.78000000,1.59681749,552.85717773
2.80000000,1.59681749,552.85717773
2.82000000,1.59681749,546.42858887
2.84000000,1.59681749,546.42858887
2.86000000,1.59681749,552.85717773
2.88000000,1.59681749,552.85717773
2.90000000,1.59681749,552.85717773
2.92000000,1.59681749,552.85717773
2.94000000,1.59681749,546.42858887
2.96000000,1.59681749,546.42858887
2.98000000,1.59681749,552.85717773
3.00000000,2.88520956,546.42858887
3.02000000,2.88520956,565.71429443
3.04000000,2.88520956,591.42864990
3.06000000,2.88520956,597.85717773
3.08000000,2.88520956,610.71435547
3.10000000,2.88520956,617.14288330
3.12000000,2.88520956,623.57147217
3.14000000,2.88520956,630.00006104
3.16000000,2.88520956,636.42858887
3.18000000,2.88520956,636.42858887
3.20000000,2.88520956,642.85717773
3.22000000,2.88520956,642.85717773
3.24000000,2.88520956,642.85717773
3.26000000,2.88520956,642.85717773
3.28000000,2.88520956,642.85717773
3.30000000,2.88520956,649.28576660
3.32000000,2.88520956,642.85717773
3.34000000,2.88520956,649.28576660
3.36000000,2.88520956,649.28576660
3.38000000,2.88520956,642.85717773
3.40000000,2.88520956,649.28576660
3.42000000,2.88520956,649.28576660
3.44000000,2.88520956,642.85717773
3.46000000,2.88520956,655.71435547
3.48000000,2.88520956,642.85717773
3.50000000,2.88520956,649.28576660
3.52000000,2.88520956,649.28576660
3.54000000,2.88520956,642.85717773
3.56000000,2.88520956,649.28576660
3.58000000,2.88520956,649.28576660
3.60000000,2.88520956,649.28576660
3.62000000,2.88520956,649.28576660
3.64000000,2.88520956,642.85717773
3.66000000,2.88520956,649.28576660
3.68000000,2.88520956,649.28576660
3.70000000,2.88520956,649.28576660
3.72000000,2.88520956,649.28576660
3.74000000,2.88520956,649.28576660
3.76000000,2.88520956,649.28576660
3.78000000,2.88520956,649.28576660
3.80000000,2.88520956,649.28576660
3.82000000,2.88520956,649.28576660
3.84000000,2.88520956,649.28576660
3.86000000,2.88520956,649.28576660
3.88000000,2.88520956,649.28576660
3.90000000,2.88520956,649.28576660
3.92000000,2.88520956,649.28576660
3.94000000,2.88520956,649.28576660
3.96000000,2.88520956,649.28576660
3.98000000,2.88520956,649.28576660
4.00000000,2.88520956,649.28576660
4.02000000,2.88520956,649.28576660
4.04000000,2.88520956,649.28576660
4.06000000,2.88520956,642.85717773
4.08000000,2.88520956,655.71435547
4.10000000,2.88520956,642.85717773
4.12000000,2.88520956,655.71435547
4.14000000,2.88520956,642.85717773
4.16000000,2.88520956,655.71435547
4.18000000,2.88520956,642.85717773
4.20000000,2.88520956,655.71435547
4.22000000,2.88520956,642.85717773
4.24000000,2.88520956,655.71435547
4.26000000,2.88520956,642.85717773
4.28000000,2.88520956,655.71435547
4.30000000,2.88520956,642.85717773
4.32000000,2.88520956,655.71435547
4.34000000,2.88520956,642.85717773
4.36000000,2.88520956,649.28576660
4.38000000,2.88520956,649.28576660
4.40000000,2.88520956,649.28576660
4.42000000,2.88520956,649.28576660
4.44000000,2.88520956,655.71435547
4.46000000,2.88520956,642.85717773
4.48000000,2.88520956,649.28576660
4.50000000,2.88520956,649.28576660
4.52000000,2.88520956,649.28576660
4.54000000,2.88520956,649.28576660
4.56000000,2.88520956,642.85717773
4.58000000,2.88520956,649.28576660
4.60000000,2.88520956,649.28576660
4.62000000,2.88520956,649.28576660
4.64000000,2.88520956,649.28576660
4.66000000,2.88520956,649.28576660
4.68000000,2.88520956,649.28576660
4.70000000,2.88520956,642.85717773
4.72000000,2.88520956,655.71435547
4.74000000,2.88520956,642.85717773
4.76000000,2.88520956,649.28576660
4.78000000,2.88520956,649.28576660
4.80000000,2.88520956,649.28576660
4.82000000,2.88520956,649.28576660
4.84000000,2.88520956,649.28576660
4.86000000,2.88520956,642.85717773
4.88000000,2.88520956,655.71435547
4.90000000,2.88520956,642.85717773
4.92000000,2.88520956,655.71435547
4.94000000,2.88520956,642.85717773
4.96000000,2.88520956,655.71435547
4.98000000,2.88520956,642.85717773
5.00000000,2.88520956,655.71435547
5.02000000,2.88520956,642.85717773
5.04000000,2.88520956,649.28576660
5.06000000,2.88520956,649.28576660
5.08000000,2.88520956,642.85717773
5.10000000,2.88520956,655.71435547
5.12000000,2.88520956,642.85717773
5.14000000,2.88520956,655.71435547
5.16000000,2.88520956,642.85717773
5.18000000,2.88520956,655.71435547
5.20000000,2.88520956,642.85717773
5.22000000,2.88520956,655.71435547
5.24000000,2.88520956,642.85717773
5.26000000,2.88520956,655.71435547
5.28000000,2.88520956,642.85717773
5.30000000,2.88520956,649.28576660
5.32000000,2.88520956,649.28576660
5.34000000,2.88520956,649.28576660
5.36000000,2.88520956,649.28576660
5.38000000,2.88520956,649.28576660
5.40000000,2.88520956,649.28576660
5.42000000,2.88520956,649.28576660
5.44000000,2.88520956,649.28576660
