t,u,y
46.12000000,0.67933273,302.14288330
46.14000000,0.67933273,295.71432495
46.16000000,0.67933273,302.14288330
46.18000000,0.67933273,302.14288330
46.20000000,0.67933273,302.14288330
46.22000000,0.67933273,295.71432495
46.24000000,0.89712590,302.14288330
46.26000000,0.89712590,302.14288330
46.28000000,0.89712590,315.00003052
46.30000000,0.89712590,321.42858887
46.32000000,0.89712590,327.85717773
46.34000000,0.89712590,327.85717773
46.36000000,0.89712590,340.71432495
46.38000000,0.89712590,340.71432495
46.40000000,0.67933273,340.71432495
46.42000000,0.67933273,347.14288330
46.44000000,0.67933273,340.71432495
46.46000000,0.67933273,334.28573608
46.48000000,0.67933273,327.85717773
46.50000000,0.67933273,321.42858887
46.52000000,0.67933273,315.00003052
46.54000000,0.67933273,308.57144165
46.56000000,0.89712590,308.57144165
46.58000000,0.89712590,308.57144165
46.60000000,0.89712590,315.00003052
46.62000000,0.89712590,327.85717773
46.64000000,0.89712590,327.85717773
46.66000000,0.89712590,334.28573608
46.68000000,0.89712590,334.28573608
46.70000000,0.89712590,340.71432495
46.72000000,0.89712590,347.14288330
46.74000000,0.89712590,347.14288330
46.76000000,0.89712590,353.57144165
46.78000000,0.89712590,347.14288330
46.80000000,0.89712590,360.00003052
46.82000000,0.89712590,353.57144165
46.84000000,0.89712590,360.00003052
46.86000000,0.89712590,360.00003052
46.88000000,0.67933273,366.42858887
46.90000000,0.67933273,353.57144165
46.92000000,0.67933273,353.57144165
46.94000000,0.67933273,340.71432495
46.96000000,0.67933273,340.71432495
46.98000000,0.67933273,327.85717773
47.00000000,0.67933273,327.85717773
47.02000000,0.67933273,315.00003052
47.04000000,0.67933273,315.00003052
47.06000000,0.67933273,315.00003052
47.08000000,0.67933273,302.14288330
47.10000000,0.67933273,302.14288330
47.12000000,0.67933273,302.14288330
47.14000000,0.67933273,295.71432495
47.16000000,0.67933273,289.28573608
47.18000000,0.67933273,289.28573608
47.20000000,0.89712590,289.28573608
47.22000000,0.89712590,289.28573608
47.24000000,0.89712590,308.57144165
47.26000000,0.89712590,308.57144165
47.28000000,0.89712590,315.00003052
47.30000000,0.89712590,321.42858887
47.32000000,0.89712590,327.85717773
47.34000000,0.89712590,334.28573608
47.36000000,0.89712590,340.71432495
47.38000000,0.89712590,340.71432495
47.40000000,0.89712590,347.14288330
47.42000000,0.89712590,347.14288330
47.44000000,0.89712590,347.14288330
47.46000000,0.89712590,353.57144165
47.48000000,0.89712590,353.57144165
47.50000000,0.89712590,360.00003052
47.52000000,0.67933273,360.00003052
47.54000000,0.67933273,353.57144165
47.56000000,0.67933273,347.14288330
47.58000000,0.67933273,340.71432495
